229,0,10
239,0,20
249,0,30
259,0,40
269,0,50
279,0,60
289,0,70
299,0,80
309,0,90
319,0,100
329,0,110
339,0,120
349,0,130
359,0,140
369,0,150
379,0,160
389,0,170
399,0,180
409,0,190
419,0,200
429,0,210
439,0,220
449,0,230
459,0,240
469,0,250
479,0,260
489,0,270
499,0,280
509,0,290
519,0,300
529,0,310
539,0,320
549,0,330
559,0,340
569,0,350
579,0,360
589,0,370
599,0,380
609,0,390
619,0,400
629,0,410
639,0,420
649,0,430
659,0,440
669,0,450
679,0,460
689,0,470
699,0,480
709,0,490
719,0,500
729,0,510
739,0,520
749,0,530
759,0,540
769,0,550
779,0,560
789,0,570
799,0,580
809,0,590
819,0,600
829,0,610
839,0,620
849,0,630
859,0,640
869,0,650
879,0,660
889,0,670
899,0,680
909,0,690
919,0,700
929,0,710
939,0,720
949,0,730
959,0,740
969,0,750
979,0,760
989,0,770
